"","jiscode","name","lat","lon","total_pop","total_migr","China","Korea","Vietnam","Philippines","Brazil","Nepal","Taiwan","US","Others","migr_rate"
"277","27125","ëÂç„és èZîVç]ãÊ","34.609513","135.48275",122988,3644,1145,1238,315,214,82,65,130,24,431,0.0296289068852246
"267","27102","ëÂç„és ìsìáãÊ","34.701337","135.528105",104727,3147,989,1132,255,92,21,52,144,69,393,0.0300495574207225
"207","22102","ê√â™és èxâÕãÊ","34.960849","138.404283",212419,4257,843,535,538,554,102,354,54,71,1206,0.0200405801740899
"23","03209","àÍä÷és","38.934568","141.126511",121583,859,197,89,145,282,16,7,2,13,108,0.0070651324609526
"49","09203","ì»ñÿés","36.382415","139.734174",159211,4579,365,91,511,1118,89,862,22,21,1500,0.0287605755883702
"326","31201","íπéÊés","35.501037","134.235175",193717,1365,388,295,215,137,3,5,32,27,263,0.00704636144478802
"191","16201","ïxéRés","36.695801","137.213618",418686,7330,2375,571,1561,732,682,54,69,98,1188,0.0175071533320914
"324","29209","ê∂ãÓés","34.691924","135.700422",118233,1184,214,315,84,47,23,22,23,98,358,0.0100141246521699
"76","11222","âzíJés","35.891072","139.79084",337498,6308,2263,745,560,1031,76,134,157,68,1274,0.0186904811287771
"98","12212","ç≤ëqés","35.723825","140.223861",172739,3161,585,272,244,517,92,124,101,62,1164,0.0182992838907253
"82","11235","ïxémå©és","35.856572","139.549251",108102,2452,1032,273,294,338,31,128,47,24,285,0.0226822815489075
"379","42202","ç≤ê¢ï€és","33.179873","129.715404",255439,1871,460,313,232,324,12,51,40,219,220,0.00732464502288218
"385","43202","î™ë„és","32.507589","130.601821",127472,2149,493,58,864,510,3,6,10,8,197,0.0168586042425003
"147","14101","â°ïlés íﬂå©ãÊ","35.508342","139.682614",285356,12804,4772,1540,925,1302,1204,665,225,123,2048,0.0448702673152133
"74","11219","è„îˆés","35.977443","139.593327",225196,3413,1143,331,343,608,140,84,66,41,657,0.0151556866018935
"329","32203","èoâ_és","35.367035","132.754682",171938,4506,301,136,210,189,3377,2,3,21,267,0.0262071211715851
"158","14113","â°ïlés óŒãÊ","35.512395","139.538072",180366,3678,1023,353,171,412,177,44,67,52,1379,0.0203918698646086
"307","28105","ê_åÀés ï∫å…ãÊ","34.680528","135.165302",106956,6186,2033,1324,1901,96,15,109,125,44,539,0.0578368674969146
"165","14132","êÏçËés çKãÊ","35.544337","139.687585",160890,5158,2111,874,315,539,48,184,128,73,886,0.0320591708620797
"384","43105","åFñ{és ñkãÊ","32.903555","130.694408",143131,780,205,69,169,86,2,61,8,30,150,0.00544955320650313
"41","08203","ìyâYés","36.0784598","140.2019114",140804,3939,698,259,279,966,506,91,112,36,992,0.0279750575267748
"262","26108","ãûìsés âEãûãÊ","35.010191","135.716095",204262,5727,1009,3177,214,131,7,65,133,137,854,0.0280375204394356
"164","14131","êÏçËés êÏçËãÊ","35.529394","139.703279",223378,15839,6036,3301,1462,1730,478,389,291,88,2064,0.0709067141795521
"136","13207","è∫ìáés","35.705669","139.353523",111539,2764,751,506,285,357,53,248,49,73,442,0.0247805700248344
"73","11218","ê[íJés","36.197465","139.28143",143811,2908,852,153,186,433,180,32,54,13,1005,0.0202209844865831
"138","13209","í¨ìcés","35.546644","139.438562",432348,6223,2418,946,353,575,63,126,190,222,1330,0.0143934978304514
"377","41202","ìÇí√és","33.450018","129.968462",122785,635,192,65,210,61,1,23,3,17,63,0.00517164148715234
"109","13104","êVèhãÊ","35.693984","139.703521",333560,44652,14115,10530,3857,851,147,3811,1932,1105,8304,0.133864971819163
"236","23203","àÍã{és","35.304126","136.802465",380868,6041,1512,956,697,1609,278,118,27,56,788,0.0158611382421206
"269","27116","ëÂç„és ê∂ñÏãÊ","34.653537","135.534577",130167,28067,2427,21512,1945,126,23,131,367,82,1454,0.215623007367459
"216","22210","ïxémés","35.161362","138.676352",248399,5440,765,416,607,991,1338,51,38,41,1193,0.0219002491958502
"271","27119","ëÂç„és à¢î{ñÏãÊ","34.638705","135.518579",107626,3063,746,1163,509,39,7,38,207,73,281,0.0284596658799918
"370","40137","ïüâ™és ëÅó«ãÊ","33.581818","130.34837",217877,2270,812,553,132,93,9,104,64,124,379,0.0104187224902124
"206","22101","ê√â™és à®ãÊ","34.975045","138.383717",253593,2718,608,496,207,409,51,216,44,76,611,0.0107179614579267
"160","14115","â°ïlés âhãÊ","35.364331","139.5541",122171,1008,316,188,103,116,17,12,41,49,166,0.00825073053343265
"357","38202","ç°é°és","34.066041","132.997663",158114,3067,1473,83,572,652,73,3,16,24,171,0.0193973968149563
"331","33102","â™éRés íÜãÊ","34.670837","133.943148",146232,1930,826,401,295,112,15,10,19,39,213,0.0131982055911155
"347","35201","â∫ä÷és","33.957844","130.94134",268517,4252,513,2203,673,128,4,72,15,46,598,0.0158351240331152
"64","11110","Ç≥Ç¢ÇΩÇ‹és ä‚íŒãÊ","35.949905","139.694194",109801,1963,781,157,287,231,33,20,28,12,414,0.017877797105673
"26","04102","êÂë‰és ã{èÈñÏãÊ","38.266305","140.910176",194825,1875,657,331,287,140,8,151,25,56,220,0.00962402155780829
"153","14108","â°ïlés ã‡ëÚãÊ","35.337475","139.624539",202229,3049,707,368,268,493,142,60,54,110,847,0.0150769672005499
"392","46203","é≠âÆés","31.378267","130.852208",103608,515,63,17,110,225,1,7,9,14,69,0.00497065863639873
"4","01104","éDñyés îíêŒãÊ","43.045445","141.396378",209584,962,247,233,125,57,4,11,24,39,222,0.00459004504160623
"308","28107","ê_åÀés ê{ñÅãÊ","34.658588","135.133724",162468,3596,418,2403,162,76,27,16,57,81,356,0.0221335893837556
"300","27219","òaêÚés","34.483554","135.423618",186109,2287,511,931,243,128,25,28,37,22,362,0.0122884976008683
"50","09204","ç≤ñÏés","36.314309","139.57845",118919,2628,371,82,390,397,188,149,34,40,977,0.0220990758415392
"194","17203","è¨èºés","36.408595","136.445646",106919,2203,356,134,271,168,959,10,14,21,270,0.0206043827570404
"97","12211","ê¨ìcés","35.776627","140.318322",131190,5573,791,498,605,894,115,478,241,70,1881,0.0424803719795716
"397","47213","Ç§ÇÈÇ‹és","26.379187","127.857427",118898,1078,136,35,151,174,11,65,27,253,226,0.00906659489646588
"265","26111","ãûìsés êºãûãÊ","34.985004","135.693308",150962,2816,451,1759,42,61,15,23,42,40,383,0.0186537009313602
"6","01106","éDñyés ìÏãÊ","42.989953","141.353372",141190,583,186,99,37,25,0,18,27,58,133,0.0041291876195198
"106","12227","âYà¿és","35.653633","139.901561",164024,4029,1387,516,354,400,37,109,123,181,922,0.0245634785153392
"9","01109","éDñyés éËàÓãÊ","43.121851","141.245651",140999,430,100,38,136,14,0,12,12,15,103,0.00304966701891503
